,Product_name,Prices,Description,Reviews
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
1,"vivo T1X (Gravity Black, 128 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.5
2,"vivo T1X (Gravity Black, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
3,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
4,"vivo T1X (Space Blue, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
5,"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.2
6,"POCO C55 (Cool Blue, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
7,"POCO C55 (Forest Green, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
8,"POCO M4 Pro (Cool Blue, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
9,"realme C35 (Glowing Black, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
10,"realme C35 (Glowing Black, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
11,"realme C35 (Glowing Green, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
12,"vivo T1X (Space Blue, 128 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.5
13,"OPPO A17k (Gold, 64 GB)","₹9,499","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.5
14,"vivo T1X (Space Blue, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.4
15,"OPPO A17 (Lake Blue, 64 GB)","₹12,100","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.4
16,"POCO C55 (Power Black, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
17,"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
18,"REDMI 10 (Caribbean Green, 128 GB)","₹11,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
19,"POCO M4 Pro (Cool Blue, 64 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
20,"OPPO A17k (Navy Blue, 64 GB)","₹9,499","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.5
21,"POCO M4 Pro 5G (Yellow, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
22,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.4
23,"POCO M4 Pro 5G (Yellow, 64 GB)","₹12,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
24,"realme 9i 5G (Rocking Black, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
25,"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
26,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.2
27,"OPPO A17 (Sunlight Orange, 64 GB)","₹12,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
28,"realme 9i 5G (Metallica Gold, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
29,"realme C35 (Glowing Green, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
30,"realme C35 (Glowing Black, 128 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
31,"POCO M4 5G (Power Black, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
32,"POCO M4 5G (Cool Blue, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
33,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
34,"POCO M4 5G (Cool Blue, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
35,"realme 10 (Clash White, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
36,"realme 10 (Rush Black, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
37,"POCO M4 Pro (Power Black, 128 GB)","₹14,999","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
38,"POCO M4 Pro (Yellow, 64 GB)","₹12,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
39,"POCO M4 5G (Power Black, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
40,"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
41,"Infinix HOT 20 5G (Space Blue, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
42,"OPPO F19 (Midnight Blue, 128 GB)","₹14,990","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4.3
43,"Infinix Hot 12 Pro (Electric Blue, 128 GB)","₹11,499","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4
44,"OPPO A17 (Lake Blue, 64 GB)","₹13,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
45,"Infinix Hot 20 5G (Racing Black, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
46,"vivo Y16 (Drizzling Gold, 32 GB)","₹9,999","<li class=""rgWa7D"">3 GB RAM | 32 GB ROM | Expandable Upto 1 TB</li>",4.3
47,"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)","₹11,499","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4
48,"Infinix Note 12 (Force Black, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
49,"Infinix Note 12 (Jewel Blue, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
50,"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
51,"vivo Y16 (Steller Black, 64 GB)","₹10,999","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
52,"vivo Y16 (Drizzling Gold, 64 GB)","₹12,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
53,"POCO M4 5G (Yellow, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.2
54,"vivo Y21 (Diamond Glow, 64 GB)","₹12,969","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
55,"Infinix Note 12 5G (Snowfall, 64 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.2
56,"Infinix Note 12 5G (Force Black, 64 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.2
57,"POCO M4 5G (Yellow, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.2
58,"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,940","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.2
59,"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹10,839","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
60,"POCO M4 Pro (Yellow, 128 GB)","₹13,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
61,"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)","₹11,130","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
62,"Tecno Pova 3 (Eco Black, 64 GB)","₹10,899","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
